car_id,title,model,price_million,description,odo,registration,origin,condition,warranty,year,version,gearbox,fuel,body_type,seats,drivetrain,horse_power,torque,engine_capacity,fuel_consumption,airbags,ground_clearance,doors,unladen_weight,gross_weight,image_folder,url
p1_s0_1774726144,Mazda 6 Số tự động,Mazda 6,89.0,"Mazda 6 màu bạc, xe 5 chỗ, động cơ xăng, số tự động.   - Thiết kế sang trọng, nội thất rộng rãi.   - Xe nhập khẩu từ Nhật Bản, vận hành bền bỉ.   - Cảm giác lái êm ái, tiết kiệm nhiên liệu. - Không sang tên",150000,Có,Nhật Bản,Đã sử dụng,Bảo hành hãng,2005,N/A,Tự động,Xăng,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,> 1 tấn,> 2 tấn,car_p1_s0_1774726144,https://xe.chotot.com/mua-ban-oto-thanh-pho-long-khanh-dong-nai/130768260.htm#px=SR-stickyad-[PO-1][PL-top]
p1_s1_1774726152,Mazda 3 2016 2.0 18 ich Trắng 123.030,Mazda 3,369.0,"Mazda 3 2.0 2016 bản đủ full bánh 18 inch  Odo: 123.030km  - Nội thất: bọc ghế da, màn có kết nối android auto. Camera de camera lề  - Nhớt máy + lọc: 7000km thay 1 lần (Motul 100% synthetic - DK đến 12/2027 Khung gầm máy móc như mới Xe ở hcm q6 biển sài gòn",123030,N/A,Đang cập nhật,Đã sử dụng,Bảo hành hãng,2016,N/A,Tự động,Xăng,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,> 1 tấn,> 2 tấn,car_p1_s1_1774726152,https://xe.chotot.com/mua-ban-oto-quan-11-tp-ho-chi-minh/131351993.htm#px=SR-stickyad-[PO-1][PL-top]
p1_s2_1774726164,Mazda CX-8 2021 Premium Siêu cọp,CX-8,730.0,Mazda Cx8 Premium Model 2021 Sản xuất 2020 Fom dáng Sang trọng đẳng cấp chạy ngon đi cực sướng rất nhiều công nghệ anh chị có nhu cầu xin liên hệ,37665,Có,Nhật Bản,Đã sử dụng,Bảo hành hãng,2021,N/A,Tự động,Xăng,SUV / Cross over,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,> 1 tấn,> 2 tấn,car_p1_s2_1774726164,https://xe.chotot.com/mua-ban-oto-quan-12-tp-ho-chi-minh/131210237.htm
p1_s3_1774726175,Mazda CX5 2022 Luxury 16.000KM Siêu mới,CX-5,685.0,Mình cần bán Mazda CX5 Model 2022 Sản xuất 2021 Luxury 16.000KM Siêu mới đi cực ngon Fom dáng Sang trọng đẳng cấp anh chị có nhu cầu xin liên hệ,16000,N/A,Việt Nam,Đã sử dụng,Bảo hành hãng,2022,Luxury 2.0 AT,Tự động,Xăng,SUV / Cross over,Khác,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,> 1 tấn,> 2 tấn,car_p1_s3_1774726175,https://xe.chotot.com/mua-ban-oto-quan-12-tp-ho-chi-minh/130588516.htm
p1_s4_1774726185,Mazda 3 2017 Trắng Số tự động,Mazda 3,385.0,"🚗 MAZDA 3 -2017 – SỐ TỰ ĐỘNG – MÁY XĂNG . Bản philip thắng điện tử  Ⓜ️ Máy số , keo chỉ nguyên zin 💯  ✨ Form dáng thể thao, sang trọng 🧭 Full chức năng: đề start/stop, màn hình, camera, cảm biến, ga tự động, vô lăng tích hợp… 🍭Máy êm ru - Điều hoà lạnh sâu 🍃Gầm bệ chắc nịch , chạy đầm  💸Giá385🍠 bao rút hồ sơ gốc  ☎️Alo ***để xem xe  📍Xem xe ngay trạm thu phí Bình Thung Dĩ An Bình Dương",118000,Có,Đang cập nhật,Đã sử dụng,Bảo hành hãng,2017,N/A,Tự động,Xăng,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,> 1 tấn,> 2 tấn,car_p1_s4_1774726185,https://xe.chotot.com/mua-ban-oto-thanh-pho-di-an-binh-duong/131489485.htm
p1_s5_1774726195,Mazda 3 2023 1.5L Sport Premium - 18000 km,Mazda 3,580.0,Mình cần bán Mazda 3 Model 2023 Sản xuất 2022 Sport Premium - Siêu lướt 18.000KM xe như mới màu trắng đi sướng chạy cực êm ái anh chị có nhu cầu xin liên hệ,18000,Có,Việt Nam,Đã sử dụng,Bảo hành hãng,2023,1.5L Sport Premium,Tự động,Xăng,Hatchback,Khác,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,> 1 tấn,> 2 tấn,car_p1_s5_1774726195,https://xe.chotot.com/mua-ban-oto-quan-12-tp-ho-chi-minh/130694891.htm
p1_s6_1774726206,"mazda cx5 2.5 premium 2020 - 6,9 vạn km",CX-5,665.0,"Hoàng Thanh auto chào bán xe: Mazda CX5 2.5 premium 2020 màu xanh cavansine rất đẹp, xe tên cá nhân 1 chủ, bảo dưỡng đều thường xuyên nên còn rất chất, Bản 2.5 nên đi khoẻ và thoát xe hơn bản 2.0 nhiều mà nhiên liệu tiêu hao cũng không nhiều hơn bao nhiêu",69000,Có,Việt Nam,Đã sử dụng,Bảo hành hãng,2020,2.5 Signature Premium 2WD,Tự động,Xăng,SUV / Cross over,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,> 1 tấn,> 2 tấn,car_p1_s6_1774726206,https://xe.chotot.com/mua-ban-oto-quan-long-bien-ha-noi/129774839.htm
p1_s7_1774726216,Mazda CX-5 2.5 Trắng,CX-5,620.0,"Mazda CX-5 2.5 phiên bản 6.5 signature premium, màu trắng, thiết kế hiện đại, nội thất tiện nghi. Sx năm 2019, đăng ký 2020, 1 chủ từ đầu bán.  - Động cơ mạnh mẽ, vận hành êm ái.   - Xe gầm cao, tầm nhìn tốt, phù hợp đi phố và đường trường.   - Trang bị an toàn đầy đủ. (Cam360, lên nội thất da nappa, 4 phuộc tein nhật, 4 lốp michelin mới) liên hệ ***",52000,Có,Việt Nam,Đã sử dụng,Bảo hành hãng,2019,2.5 Signature Premium 2WD,Tự động,Xăng,SUV / Cross over,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,> 1 tấn,> 2 tấn,car_p1_s7_1774726216,https://xe.chotot.com/mua-ban-oto-thanh-pho-ba-ria-ba-ria-vung-tau/131488809.htm
p1_s8_1774726221,Mazda 3 2019 màu Xanh,Mazda 3,435.0,Cần bán xe Mazda 3 sản xuất 2019. Xe màu xanh. Bảo dưỡng đúng hãng.  Xem xe tại quận 2.,80,N/A,Đang cập nhật,Đã sử dụng,Bảo hành hãng,2019,N/A,Tự động,Xăng,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,> 1 tấn,> 2 tấn,car_p1_s8_1774726221,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/131427748.htm
p1_s9_1774726228,Mazda 3 2019 - 98000 km ngay chủ bán,Mazda 3,415.0,"Xe gia đình bán  Mazda 3- 2019 - máy 1.5 luxury, cửa sổ trời  Cam kết máy số zin không lỗi nhỏ  Sơn zin còn 75% xe  Không đâm đụng ngập nước  Nọi thất zin theo xe còn khá  Bstp ngay chủ dứng tên cavet  Gầm bệ êm ái , võ lốp mới tinh  Anh chị cần qua xemnxe ngã tư ga , quân 12  Giá có bớt chonae nhanh gọn lẹ",98000,N/A,Việt Nam,Đã sử dụng,Bảo hành hãng,2019,N/A,Tự động,Xăng,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,> 1 tấn,> 2 tấn,car_p1_s9_1774726228,https://xe.chotot.com/mua-ban-oto-quan-12-tp-ho-chi-minh/130882839.htm
p1_s10_1774726239,Mazda BT 50 2017 2.2 AT 2WD - 120000 km nhập khẩu,Mazda Other,385.0,"Hoàng Thanh Auto chào bán xe: Mazda BT50 2.2AT 2017 máy dầu số tự động, xe nhập khẩu Thái Lan tên cá nhân 1 chủ xe đẹp zin, lốp mới 4 quả Xe bán cam kết nguyên zin, không đâm đụng ngập nước Máy số zin keo chỉ khung gầm cột kèo zin Bao check test toàn quốc",120000,Có,Thái Lan,Đã sử dụng,Bảo hành hãng,2017,2.2 AT 2WD,Tự động,Dầu,Pick-up (bán tải),5,2WD,148 HP @3700 RPM,375 Nm @1500 RPM,2.2,8,2,237,4,> 1 tấn,> 2 tấn,car_p1_s10_1774726239,https://xe.chotot.com/mua-ban-quan-long-bien-ha-noi/130636888.htm
p1_s11_1774726251,Mazda CX5 2021 Premium 2.0 29.000 km,CX-5,685.0,"🏡 Gia đình em cần bán Mazda CX5 2021 Premium 2.0 – Xanh Cavansite. ✔️ ODO: 29.000 km – cam kết chuẩn, bao check hãng ✔️ Xe gia đình sử dụng, giữ gìn kỹ – máy số zin 100%, thân vỏ nguyên bản 🔧 Trang bị thêm full đồ chơi: • 4 lốp Michelin mới tinh • Bi gầm tăng sáng – đi đêm cực an tâm • Camera Vietmap trước/sau • Camera 360 + cảm biến áp suất lốp • Đã mở full tính năng ẩn tiện ích 🛞 Lốp sơ cua zin theo xe – chưa hạ 🛡️ Bảo hiểm thân vỏ còn đến 12/2026 💰 Giá: 685triệu (còn thương lượng cho anh/chị thiện chí) Xem xe tai Quận 7 📞 Liên hệ: *** (Giang)",29000,N/A,Việt Nam,Đã sử dụng,Bảo hành hãng,2021,2.0 Premium,Tự động,Xăng,SUV / Cross over,Khác,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,> 1 tấn,> 2 tấn,car_p1_s11_1774726251,https://xe.chotot.com/mua-ban-quan-7-tp-ho-chi-minh/131488493.htm
